,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,f1,~,f3,-0.32509228503997606,-0.46418863677179856,0.3641604552169858,-0.8927171536112465,0.37200866187340886
1,f2,~,f3,-0.9116664897120257,-0.29786580976079696,0.602671292266267,-1.5127093349383038,0.13035350735188178
2,e1,~,f1,1.0,0.13840790521614274,-,-,-
3,a2,~,f1,4.831519282017601,0.6675777288039533,4.764178041994516,1.0141349125554258,0.31051838091664674
4,a3,~,f1,3.5656349576879403,0.49296899497812957,3.4638428236954852,1.0293870533891103,0.3032978304182765
5,c1,~,f2,1.0,0.604493173573833,-,-,-
6,c2,~,f2,1.3086926481728185,0.7906289482098738,0.22448302739830145,5.829806659926089,5.549163129003887e-09
7,c3,~,f2,1.4329365736216897,0.8656452282560861,0.24616676408027321,5.82099934964656,5.849679629577054e-09
8,e2,~,f2,0.6235977363194604,0.3768186160331962,0.18792562217193967,3.3183220526767276,0.0009056000424707555
9,o1,~,f3,1.0,0.19729963645719215,-,-,-
10,o2,~,f3,-0.031733118777928164,-0.006264858536051374,0.5371938751583047,-0.05907200406653504,0.9528947572086444
11,o3,~,f3,-0.6320206205373833,-0.12477459136174128,0.6285163229252498,-1.0055755077208148,0.31461981050968024
12,n1,~,f3,4.296745719351774,0.8482149249408882,2.2892235666921255,1.8769445596607213,0.060525692764092476
13,n2,~,f3,4.134667057268588,0.8162643648447829,2.206112717890679,1.8741866740245148,0.06090470020769856
14,n3,~,f3,3.935504247385531,0.7770415163043941,2.10530792705937,1.8693247656558507,0.06157764458945647
15,f1,~~,f1,0.014997192466502645,0.7845289094919393,0.028134845206633646,0.5330469158733298,0.5940011041005215
16,f2,~~,f2,0.33270343224640353,0.9112759593755446,0.10745740906142781,3.096142324193934,0.0019605623322629384
17,f3,~~,f3,0.038974153984594646,1.0,0.04144615480474129,0.9403563290072879,0.3470348149646154
18,a2,~~,a2,0.5550613234462389,0.5543399760049555,0.21592517470212946,2.5706188461321378,0.010151698782941088
19,a3,~~,a3,0.757043554713431,0.7569815699902529,0.15304511146134026,4.946538621716881,7.554474457105442e-07
20,c1,~~,c1,0.6340396591818613,0.6345880031026357,0.09975304119975857,6.356093524064304,2.0694912450380798e-10
21,c2,~~,c2,0.3750243837825135,0.3749058662525486,0.08825292564595702,4.249427211996846,2.1431783463254916e-05
22,c3,~~,c3,0.250763071928659,0.25065833879746874,0.09118366816127181,2.7500875648301104,0.005957934109330543
23,e1,~~,e1,0.9787659002563752,0.9808432517736793,0.13838784946426547,7.0726288762948055,1.5203394099216894e-12
24,e2,~~,e2,0.8579123673847125,0.8580077306108268,0.1233584530786739,6.954629747428902,3.5349501104064984e-12
25,n1,~~,n1,0.2805599823448901,0.2805314411075234,0.07011670397465737,4.001328733910438,6.298777770696873e-05
26,n2,~~,n2,0.3337094976726672,0.33371248668454306,0.07159581214369888,4.661019795378853,3.1464645615653097e-06
27,n3,~~,n3,0.3961052489896632,0.39620648193936786,0.07460029472660272,5.309700858904261,1.0980531084392453e-07
28,o1,~~,o1,0.9622334207447463,0.96107285345386,0.1349459127413316,7.1305117820207995,9.99866855977416e-13
29,o2,~~,o2,0.999913951294989,0.9999607515475232,0.13933547318626546,7.176305706093341,7.16093850883226e-13
30,o3,~~,o3,0.9844015626269965,0.9844313013505105,0.13751560713760091,7.158471559048754,8.15791878494565e-13
