tweet_id,text,created_at,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count
1750669186773495875,"所詮あんたはギフテッド

私ニート",2024-01-25 23:57:14+00:00,1700740321070694400,0,0,2,0,0,80
1750653921507561815,"@Drmiidr そうそう
小学校教師の父親(浄土真宗門徒)

才能(ギフテッドは含むか？)は
『身を助ける(大袈裟)が
     ある意味 しんどいし 苦しみ
     でもある』

……の意見です",2024-01-25 22:56:35+00:00,2960846366,0,0,1,0,0,234
1750647519342702723,"突出した子を集めた英才教育に挫折　「IQだけじゃない」学園の教訓

《私自身、IQ130以上の「ギフテッド」な子どもでしたが、小学校時代を振り返ると、学校に行くのが嫌、友達と遊ぶより本読んでいたい…と散々だったなあと》

長島美紀さん【#コメントプラス 一押し】
https://t.co/tjG1q6gyxK",2024-01-25 22:31:08+00:00,1395253231236784133,0,0,0,0,0,101
1750644058274582946,"@gerogeroR ほとんどがじゃないですか。
ギフテッドの親の話を読むと、心配して、心配して、心配して、それでも子の為に調べて、そうしたらギフテッドだった、と言う話がほとんどだったと思います。",2024-01-25 22:17:23+00:00,1525809988874403840,0,0,1,0,0,96
1750643479666131048,たぶんそのうちギフテッドが差別用語に進化する。,2024-01-25 22:15:05+00:00,108616701,0,0,0,0,0,26
1750638542324404642,普段勉強全くしないけど一夜漬けで乗り切れちゃう人、あれこそ一種のギフテッドだと思うのだ。,2024-01-25 21:55:28+00:00,2988719156,0,0,0,0,0,34
1750636006330781763,"たぶお式「面積（１）三角形」「インド式かけ算（６）」
#算数オリンピック　#発達障害　#学習障害　#ギフテッド　＃フリースクール　#ASD  #自閉症スペクトラム　#たぶお式 #中学受験 #全国統一小学生テスト  #全統小 #くもん #公文　#ピグマリオン #お受験　#SAPIX #算数
 https://t.co/xPdTGQxL2W",2024-01-25 21:45:23+00:00,991546653835382784,0,0,0,0,0,421
1750629913961615544,私の耳鳴りはギフテッドだ!!!,2024-01-25 21:21:11+00:00,2441788848,0,0,0,0,0,16
1750603542690451954,@ryu0726a じゃあ俺もギフテッドかもしれん,2024-01-25 19:36:23+00:00,1231487422153650176,0,1,1,0,0,145
1750597248818516238,うちの夢キャラは全員フィジカルがギフテッドされてるよ〜〜〜〜〜,2024-01-25 19:11:23+00:00,1076460916298805248,0,0,0,0,0,15
