,all,ja,mt,en,sc
MSE,0.909303548829168,0.7483232061157424,1.0696762590048603,1.1063281303291352,1.0235054869341607
RMSE,0.9535740919452289,0.8650567646783316,1.0342515453238927,1.0518213395482787,1.0116844799314462
MAE,0.7717537009706158,0.6695466481426265,0.7796564779673492,0.6450464291182704,0.8259372647646321
R-squared,-0.22198655828117175,-0.19236330934150492,-0.1354952530355551,-0.019813995813634966,-0.3007203483194816
Adjusted R-squared,-1.443973116562343,-1.3847266186830098,-1.2709905060711102,-1.03962799162727,-1.6014406966389632
Intercept,0.057918679526844985,0.045784193827301534,0.055730700687298226,0.017707474486037787,0.12820826695798146
IntellectualCuriosity,-0.15586426535937317,-0.25506896487331604,-0.045663387804182554,-0.19663104731281825,0.10366574818609392
AestheticSensitivity,0.08481848968760702,0.016474964509887113,-0.018315977022338586,0.11411638257744758,0.08863023322205137
CreativeImagination,-0.18542953916218397,-0.0585520496280932,-0.1584868237777531,-0.16696062817343785,-0.22988161995159226
Organization,-0.09340794624444938,-0.14529364116175106,-0.14679861405855424,0.02423176315316199,-0.03537183167692686
Productiveness,0.2074280483015103,0.23185263545700172,0.4231280100765822,-0.0393816821864278,0.37090049317410795
Responsibility,0.07659836560167357,0.06510241042981128,-0.03207684434144729,0.11992703296973976,-0.06427544155504372
Sociability,-0.30412160354387846,-0.30961684411405044,-0.25966583027671514,-0.24047514713952764,-0.17590817894795507
Assertiveness,0.1510401299165035,0.19099803097335497,0.17595334897138956,0.1334868996819835,0.08620999587129861
EnergyLevel,0.10484203619634959,0.2540384065126029,0.003498267544565692,0.14227063534144171,-0.207993032927569
Compassion,0.040544885887802716,0.06288527470712044,0.0104684254438074,-0.01547184412500922,0.061335781240543556
Respectfulness,0.17571908959804125,0.19728077512194261,0.07083919439938273,0.22431249407968043,0.015904772737252545
Trust,-0.16316958319688782,-0.14834403640171076,0.05863346264966782,-0.21013418360239774,-0.08824122777441973
Anxiety,0.08217599839707286,0.007941253936105331,0.26531410740524614,-0.0275463215500922,0.29038956195599275
Depression,-0.1288216187454,0.023731739102651427,-0.08704422668401143,-0.05005863137781945,-0.45581369933729304
EmotionalVolatility,0.20410240751975098,0.17117818104738666,0.01419443739376895,0.1822967904641163,0.1832328734252899
